fight_id,fighter_a,fighter_b,predicted_prob_a,outcome_a,raw_delta,fight_date,close_flag,asof_frozen
baisangur-susurkaev-eric-mcconico,Baisangur Susurkaev,Eric McConico,0.7800,1,0.364102,2025-11-15,0,1
matheus-camilo-viacheslav-borshchev,Viacheslav Borshchev,Matheus Camilo,0.5400,0,0.049979,2025-11-15,1,0
petr-yan-merab-dvalishvili,Petr Yan,Merab Dvalishvili,0.4500,1,-0.054318,2025-12-06,1,1
joshua-van-alexandre-pantoja,Alexandre Pantoja,Joshua Van,0.3500,0,-0.170896,2025-12-06,0,1
tatsuro-taira-brandon-moreno,Tatsuro Taira,Brandon Moreno,0.5000,1,0.001910,2025-12-06,1,1
payton-talbott-henry-cejudo,Payton Talbott,Henry Cejudo,0.5600,1,0.064740,2025-12-06,1,1
manuel-torres-grant-dawson,Manuel Torres,Grant Dawson,0.7300,1,0.281567,2025-12-06,0,1
chris-duncan-terrance-mckinney,Terrance McKinney,Chris Duncan,0.6900,0,0.232163,2025-12-06,0,1
maycee-barber-karine-silva,Maycee Barber,Karine Silva,0.5500,1,0.056418,2025-12-06,1,1
fares-ziam-nazim-sadykhov,Nazim Sadykhov,Fares Ziam,0.3900,0,-0.124523,2025-12-06,0,1
brunno-ferreira-marvin-vettori,Marvin Vettori,Brunno Ferreira,0.5500,0,0.059760,2025-12-06,1,1
jalin-turner-edson-barboza,Edson Barboza,Jalin Turner,0.5000,0,-0.003262,2025-12-06,1,1
iwo-baraniewski-ibo-aslan,Ibo Aslan,Iwo Baraniewski,0.2900,0,-0.260726,2025-12-06,0,0
mansur-abdul-malik-antonio-trocoli,Mansur Abdul-Malik,Antonio Trocoli,0.8300,1,0.462335,2025-12-06,0,1
mairon-santos-muhammad-naimov,Muhammad Naimov,Mairon Santos,0.4200,0,-0.090568,2025-12-06,1,1
justin-gaethje-paddy-pimblett,Paddy Pimblett,Justin Gaethje,0.5400,0,0.049171,2026-01-24,1,1
sean-o-malley-song-yadong,Song Yadong,Sean O'Malley,0.3600,0,-0.162351,2026-01-24,0,1
waldo-cortes-acosta-derrick-lewis,Waldo Cortes Acosta,Derrick Lewis,0.6800,1,0.220613,2026-01-24,0,1
natalia-silva-rose-namajunas,Rose Namajunas,Natalia Silva,0.3900,0,-0.126903,2026-01-24,0,1
jean-silva-arnold-allen,Jean Silva,Arnold Allen,0.4500,1,-0.054270,2026-01-24,1,1
umar-nurmagomedov-deiveson-figueiredo,Umar Nurmagomedov,Deiveson Figueiredo,0.7400,1,0.297228,2026-01-24,0,1
ateba-gautier-andrey-pulyaev,Ateba Gautier,Andrey Pulyaev,0.7700,1,0.340372,2026-01-24,0,1
nikita-krylov-modestas-bukauskas,Nikita Krylov,Modestas Bukauskas,0.6100,1,0.125730,2026-01-24,0,1
alex-perez-charles-johnson,Alex Perez,Charles Johnson,0.5400,1,0.041958,2026-01-24,1,1
josh-hokit-denzel-freeman,Josh Hokit,Denzel Freeman,0.6600,1,0.184551,2026-01-24,0,0
ty-miller-adam-fugitt,Adam Fugitt,Ty Miller,0.5000,0,0.000000,2026-01-24,1,0
alexander-volkanovski-diego-lopes,Diego Lopes,Alexander Volkanovski,0.2900,0,-0.259624,2026-01-31,0,1
benoit-saint-denis-dan-hooker,Benoit Saint Denis,Dan Hooker,0.5300,1,0.037737,2026-01-31,1,1
mauricio-ruffy-rafael-fiziev,Mauricio Ruffy,Rafael Fiziev,0.5100,1,0.014340,2026-01-31,1,1
tallison-teixeira-tai-tuivasa,Tai Tuivasa,Tallison Teixeira,0.2600,0,-0.300000,2026-01-31,0,1
quillan-salkilld-jamie-mullarkey,Jamie Mullarkey,Quillan Salkilld,0.3800,0,-0.135406,2026-01-31,0,1
billy-elekana-junior-tafa,Junior Tafa,Billy Elekana,0.6400,0,0.166154,2026-01-31,0,1
cam-rowston-cody-brundage,Cody Brundage,Cam Rowston,0.4800,0,-0.019035,2026-01-31,1,1
jacob-malkoun-torrez-finney,Jacob Malkoun,Torrez Finney,0.6600,1,0.184722,2026-01-31,0,1
jonathan-micallef-oban-elliott,Jonathan Micallef,Oban Elliott,0.4600,1,-0.048959,2026-01-31,1,1
kaan-ofli-yizha,Kaan Ofli,Yizha,0.4100,1,-0.108945,2026-01-31,1,1
dom-mar-fan-sangwook-kim,Sangwook Kim,Dom Mar Fan,0.5000,0,0.000000,2026-01-31,1,1
keiichiro-nakamura-sebastian-szalay,Keiichiro Nakamura,Sebastian Szalay,0.5000,1,0.000000,2026-01-31,1,1
