fight_id,fighter_a,fighter_b,predicted_prob_a,outcome_a,raw_delta,fight_date,close_flag,asof_frozen
ivan-erslan-tuco-tokkos,Ivan Erslan,Tuco Tokkos,0.4300,1,-0.086006,2026-05-16,1,1
tommy-gantt-artur-minev,Tommy Gantt,Artur Minev,0.5000,1,0.000000,2026-05-16,1,0
ketlen-vieira-jacqueline-cavalcanti,Jacqueline Cavalcanti,Ketlen Vieira,0.7200,0,0.265528,2026-05-16,0,1
cody-brundage-andre-petroski,Andre Petroski,Cody Brundage,0.6200,0,0.134744,2026-05-16,0,1
alice-ardelean-polyana-viana,Alice Ardelean,Polyana Viana,0.6800,1,0.209618,2026-05-16,0,1
luis-gurule-daniel-barez,Daniel Barez,Luis Gurule,0.3500,0,-0.179072,2026-05-16,0,1
nicolle-caliari-shauna-bannon,Nicolle Caliari,Shauna Bannon,0.2300,1,-0.338333,2026-05-16,0,1
mario-bautista-vinicius-oliveira,Vinicius Oliveira,Mario Bautista,0.5800,0,0.094996,2026-02-07,1,1
kyoji-horiguchi-amir-albazi,Amir Albazi,Kyoji Horiguchi,0.3800,0,-0.136385,2026-02-07,0,1
rizvan-kuniev-jailton-almeida,Jailton Almeida,Rizvan Kuniev,0.4600,0,-0.041050,2026-02-07,1,1
michal-oleksiejczuk-marc-andre-barriault,Michal Oleksiejczuk,Marc-Andre Barriault,0.6000,1,0.111517,2026-02-07,1,1
farid-basharat-jean-matsumoto,Farid Basharat,Jean Matsumoto,0.6700,1,0.198051,2026-02-07,0,1
dustin-jacoby-julius-walker,Dustin Jacoby,Julius Walker,0.5400,1,0.045676,2026-02-07,1,1
daniil-donchenko-alex-morono,Alex Morono,Daniil Donchenko,0.1500,0,-0.500784,2026-02-07,0,0
nikolay-veretennikov-niko-price,Nikolay Veretennikov,Niko Price,0.4200,1,-0.093948,2026-02-07,1,1
ketlen-souza-bruna-brasil,Bruna Brasil,Ketlen Souza,0.4300,0,-0.079737,2026-02-07,1,1
javid-basharat-gianni-vazquez,Gianni Vazquez,Javid Basharat,0.5000,0,0.000000,2026-02-07,1,0
wang-cong-eduarda-moura,Eduarda Moura,Wang Cong,0.3100,0,-0.233186,2026-02-07,0,1
jakub-wiklacz-muin-gafurov,Jakub Wiklacz,Muin Gafurov,0.3700,1,-0.146055,2026-02-07,0,0
klaudia-sygula-priscila-cachoeira,Priscila Cachoeira,Klaudia Sygula,0.2600,0,-0.292168,2026-02-07,0,1
mike-malott-gilbert-burns,Gilbert Burns,Mike Malott,0.4200,0,-0.089545,2026-04-18,1,1
charles-jourdain-kyler-phillips,Kyler Phillips,Charles Jourdain,0.5500,0,0.060643,2026-04-18,1,1
jai-herbert-mandel-nallo,Jai Herbert,Mandel Nallo,0.1300,1,-0.541094,2026-04-18,0,0
jasmine-jasudavicius-karine-silva,Jasmine Jasudavicius,Karine Silva,0.5900,1,0.102417,2026-04-18,1,1
gauge-young-thiago-moises,Gauge Young,Thiago Moises,0.5900,1,0.101102,2026-04-18,1,1
marcio-barbosa-dennis-buzukja,Dennis Buzukja,Marcio Barbosa,0.3600,0,-0.169792,2026-04-18,0,0
robert-valentin-julien-leblanc,Robert Valentin,Julien Leblanc,0.5000,1,0.000000,2026-04-18,1,0
gokhan-saricam-tanner-boser,Gokhan Saricam,Tanner Boser,0.5000,1,0.000000,2026-04-18,1,0
melissa-croden-daria-zhelezniakova,Melissa Croden,Daria Zhelezniakova,0.4500,1,-0.056997,2026-04-18,1,1
jj-aldrich-jamey-lyn-horth,Jamey-Lyn Horth,JJ Aldrich,0.5900,0,0.105821,2026-04-18,1,1
john-yannis-jamie-siraj,Jamie Siraj,John Yannis,0.5000,0,0.000000,2026-04-18,1,0
carlos-prates-jack-della-maddalena,Jack Della Maddalena,Carlos Prates,0.6800,0,0.218058,2026-05-02,0,1
quillan-salkilld-beneil-dariush,Quillan Salkilld,Beneil Dariush,0.5400,1,0.045318,2026-05-02,1,1
steve-erceg-tim-elliott,Tim Elliott,Steve Erceg,0.6100,0,0.126150,2026-05-02,0,1
marwan-rahiki-ollie-schmid,Marwan Rahiki,Ollie Schmid,0.5000,1,0.000000,2026-05-02,1,0
brando-pericic-shamil-gaziev,Brando Pericic,Shamil Gaziev,0.8700,1,0.532656,2026-05-02,0,1
louie-sutherland-tai-tuivasa,Louie Sutherland,Tai Tuivasa,0.3700,1,-0.151599,2026-05-02,0,1
cam-rowston-robert-bryczek,Cam Rowston,Robert Bryczek,0.5300,1,0.039659,2026-05-02,1,1
junior-tafa-kevin-christian,Junior Tafa,Kevin Christian,0.6600,1,0.186771,2026-05-02,0,1
jacob-malkoun-gerald-meerschaert,Gerald Meerschaert,Jacob Malkoun,0.2700,0,-0.280525,2026-05-02,0,1
colby-thicknesse-vince-morales,Vince Morales,Colby Thicknesse,0.4700,0,-0.036921,2026-05-02,1,1
wes-schultz-ben-johnston,Ben Johnston,Wes Schultz,0.5000,0,0.000000,2026-05-02,1,0
jonathan-micallef-themba-gorimbo,Themba Gorimbo,Jonathan Micallef,0.6400,0,0.163487,2026-05-02,0,1
kody-steele-dom-mar-fan,Kody Steele,Dom Mar Fan,0.0900,1,-0.646090,2026-05-02,0,1
kevin-vallejos-josh-emmett,Kevin Vallejos,Josh Emmett,0.5900,1,0.099976,2026-03-14,1,1
gillian-robertson-amanda-lemos,Amanda Lemos,Gillian Robertson,0.4200,0,-0.090575,2026-03-14,1,1
jose-delgado-andre-fili,Jose Delgado,Andre Fili,0.6500,1,0.175935,2026-03-14,0,1
marwan-rahiki-harry-hardwick,Marwan Rahiki,Harry Hardwick,0.9000,1,0.634530,2026-03-14,0,0
ion-cutelaba-oumar-sy,Ion Cutelaba,Oumar Sy,0.3300,1,-0.198067,2026-03-14,0,1
charles-johnson-bruno-silva,Bruno Silva,Charles Johnson,0.4200,0,-0.093981,2026-03-14,1,1
myktybek-orolbai-chris-curtis,Myktybek Orolbai,Chris Curtis,0.5200,1,0.027970,2026-03-14,1,1
vitor-petrino-steven-asplund,Vitor Petrino,Steven Asplund,0.3200,1,-0.214844,2026-03-14,0,1
elijah-smith-suyoung-you,Elijah Smith,SuYoung You,0.4400,1,-0.073571,2026-03-14,1,1
manoel-sousa-bolaji-oki,Manoel Sousa,Bolaji Oki,0.4600,1,-0.046375,2026-03-14,1,0
eryk-anders-brad-tavares,Eryk Anders,Brad Tavares,0.4700,1,-0.032222,2026-03-14,1,1
bia-mesquita-montse-rendon,Bia Mesquita,Montse Rendon,0.8500,1,0.497051,2026-03-14,0,0
hecher-sosa-luan-lacerda,Hecher Sosa,Luan Lacerda,0.5000,1,0.000000,2026-03-14,1,0
piera-rodriguez-sam-hughes,Piera Rodriguez,Sam Hughes,0.6100,1,0.133483,2026-03-14,0,1
movsar-evloev-lerone-murphy,Movsar Evloev,Lerone Murphy,0.5700,1,0.077240,2026-03-21,1,1
luke-riley-michael-aswell-jr,Michael Aswell Jr.,Luke Riley,0.6700,0,0.207031,2026-03-21,0,0
michael-page-sam-patterson,Michael Page,Sam Patterson,0.4800,1,-0.027514,2026-03-21,1,1
iwo-baraniewski-austen-lane,Iwo Baraniewski,Austen Lane,0.6500,1,0.171875,2026-03-21,0,1
christian-leroy-duncan-roman-dolidze,Roman Dolidze,Christian Leroy Duncan,0.3800,0,-0.136223,2026-03-21,0,1
danny-silva-kurtis-campbell,Danny Silva,Kurtis Campbell,0.2700,1,-0.286840,2026-03-21,0,0
mason-jones-axel-sola,Axel Sola,Mason Jones,0.7100,0,0.254017,2026-03-21,0,0
nathaniel-wood-losene-keita,Nathaniel Wood,Losene Keita,0.5000,1,0.000000,2026-03-21,1,0
